#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="288FAA978", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-05-05, 05:10:33,  -05:00,       ,    2.8474102,  -60.6956635,   284.5, 29.94,   283.6,  23.0,   0.00,   0.00,    0.00,   0.68,  -0.43,   0.01,  -0.00, 259.4, 105.6,  27.5,  59.4, 105.97, 105.12,    19.15,   83.26,   97.88,  134.66, 1024.27,   51.85,  633.52,   234.6,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:33,  -05:00,       ,    2.8474102,  -60.6956635,   284.5, 29.94,   283.8,  23.0,   0.00,   0.00,    0.00,   0.68,  -0.43,   0.01,  -0.00, 259.4, 105.6,  27.5,  58.5, 105.97, 105.12,    19.15,   83.32,   97.88,  134.58, 1024.02,   51.86,  633.59,   234.6,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:34,  -05:00,       ,    2.8474102,  -60.6956635,   284.5, 29.94,   283.6,  23.0,   0.00,   0.00,    0.00,   0.68,  -0.42,   0.00,   0.00, 259.4, 105.6,  27.5,  58.6, 105.97, 105.12,    19.13,   83.47,   97.85,  134.18, 1025.47,   51.87,  633.60,   234.4,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:36,  -05:00,       ,    2.8474133,  -60.6956558,   284.5, 29.94,   287.6,  23.0,   0.00,   0.00,    0.00,   0.65,  -0.43,   0.00,   0.00, 259.4, 105.6,  27.5,  56.7, 105.97, 105.12,    19.12,   83.70,   97.85,  133.54, 1027.31,   51.87,  633.92,   238.4,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  86.5,       
2023-05-05, 05:10:37,  -05:00,       ,    2.8474016,  -60.6956787,   284.5, 29.94,   271.3,  23.0,   0.00,   0.00,    0.00,   0.65,  -0.43,   0.01,  -0.01, 259.3, 105.6,  27.5,  56.6, 105.97, 105.12,    19.10,   83.91,   97.82,  132.99, 1029.20,   51.87,  634.39,   222.0,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:37,  -05:00,       ,    2.8474028,  -60.6956787,   284.5, 29.94,   271.9,  23.0,   0.00,   0.00,    0.00,   0.64,  -0.42,   0.01,   0.01, 259.3, 105.6,  27.5,  56.2, 105.97, 105.12,    19.08,   84.12,   97.79,  132.93, 1029.81,   51.90,  634.65,   222.7,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:39,  -05:00,       ,    2.8474035,  -60.6956787,   284.5, 29.94,   273.7,  23.0,   0.00,   0.00,    0.00,   0.64,  -0.42,   0.01,   0.00, 259.3, 105.6,  27.5,  55.3, 105.97, 105.12,    19.10,   84.33,   97.77,  133.28, 1031.74,   51.94,  634.38,   224.5,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:40,  -05:00,       ,    2.8474026,  -60.6956787,   284.5, 29.94,   273.2,  23.0,   0.00,   0.00,    0.00,   0.65,  -0.42,   0.01,  -0.00, 259.3, 105.6,  27.5,  54.2, 105.89, 105.12,    19.08,   84.54,   97.76,  133.70, 1031.34,   51.97,  633.99,   223.9,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:40,  -05:00,       ,    2.8474026,  -60.6956787,   284.5, 29.94,   273.0,  23.0,   0.00,   0.00,    0.00,   0.64,  -0.42,   0.01,  -0.01, 259.4, 105.6,  27.6,  53.5, 105.81, 105.19,    19.07,   84.76,   97.76,  133.86, 1029.78,   52.01,  633.54,   223.8,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  85.0,       
2023-05-05, 05:10:41,  -05:00,       ,    2.8474121,  -60.6956558,   284.5, 29.94,   286.2,  23.0,   0.00,   0.00,    0.00,   0.65,  -0.44,   0.01,  -0.00, 259.3, 105.6,  27.6,  53.0, 105.74, 105.19,    19.06,   84.98,   97.77,  133.90, 1030.10,   52.03,  632.73,   237.0,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 118.100,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  87.0,       
