#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="24D2D62A1", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-06-28, 15:41:57,  +00:00,   SBBV,    2.8356059,  -63.6487999,  2916.2, 30.03,  2993.9,  36.8,   0.00,   0.00,  -28.02,   0.76,   0.75,  -0.01,   0.00,  33.3, 104.6,  26.1,  50.0,  80.29,  91.00,    17.62,  152.13,   91.23,   95.86, 1012.64,   49.64,  692.87,  2969.1,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:41:58,  +00:00,   SBBV,    2.8356059,  -63.6487999,  2916.2, 30.03,  2993.9,  36.8,   0.00,   0.00,  -30.17,   0.77,   0.74,  -0.01,   0.01,  33.3, 104.6,  26.2,  49.9,  80.29,  91.00,    17.62,  152.12,   91.21,   95.61, 1012.12,   49.61,  693.47,  2969.0,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:41:59,  +00:00,   SBBV,    2.8356061,  -63.6487999,  2916.2, 30.03,  2993.8,  36.5,   0.00,   0.00,  -31.94,   0.77,   0.71,  -0.02,   0.00,  33.3, 104.6,  26.2,  48.8,  80.29,  91.00,    17.60,  152.10,   91.15,   94.92, 1011.13,   49.54,  695.43,  2968.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:00,  +00:00,   SBBV,    2.8356063,  -63.6487999,  2915.2, 30.03,  2994.8,  36.5,   0.00,   0.00,  -27.75,   0.76,   0.73,   0.00,  -0.01,  33.3, 104.6,  26.2,  47.8,  80.29,  91.00,    17.59,  152.07,   91.27,   94.45, 1010.03,   49.50,  697.43,  2969.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:01,  +00:00,   SBBV,    2.8356054,  -63.6487923,  2914.2, 30.03,  2994.5,  36.2,   0.00,   0.00,  -33.16,   0.76,   0.74,  -0.01,   0.01,  33.3, 104.6,  26.2,  46.9,  80.29,  91.00,    17.59,  152.04,   91.26,   94.38, 1008.61,   49.45,  699.25,  2969.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:02,  +00:00,   SBBV,    2.8356054,  -63.6487923,  2913.2, 30.03,  2994.3,  36.0,   0.00,   0.00,  -39.14,   0.77,   0.75,  -0.01,  -0.01,  33.3, 104.6,  26.2,  46.1,  80.29,  91.00,    17.60,  152.01,   91.22,   94.41, 1007.30,   49.43,  700.81,  2969.5,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:03,  +00:00,   SBBV,    2.8356056,  -63.6487923,  2913.2, 30.03,  2994.3,  36.0,   0.00,   0.00,  -38.77,   0.77,   0.74,  -0.02,  -0.00,  33.3, 104.6,  26.2,  45.5,  80.17,  91.06,    17.62,  151.98,   91.22,   94.67, 1005.78,   49.42,  702.09,  2969.5,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:04,  +00:00,   SBBV,    2.8356056,  -63.6487923,  2913.2, 30.03,  2994.4,  36.0,   0.00,   0.00,  -31.98,   0.75,   0.73,  -0.02,  -0.01,  33.3, 104.6,  26.2,  44.8,  80.17,  91.13,    17.62,  151.94,   91.21,   95.15, 1004.64,   49.42,  703.44,  2969.5,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:05,  +00:00,   SBBV,    2.8356056,  -63.6487923,  2913.2, 30.03,  2994.4,  35.8,   0.00,   0.00,  -21.60,   0.73,   0.73,  -0.01,   0.00,  33.3, 104.6,  26.2,  44.4,  80.04,  91.19,    17.63,  151.91,   91.18,   95.72, 1004.20,   49.43,  704.07,  2969.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
2023-06-28, 15:42:06,  +00:00,   SBBV,    2.8356054,  -63.6487923,  2913.2, 30.03,  2993.5,  35.8,   0.00,   0.00,  -10.06,   0.71,   0.71,  -0.01,   0.01,  33.3, 104.6,  26.2,  44.2,  80.04,  91.25,    17.65,  151.87,   91.24,   96.32, 1003.77,   49.46,  704.17,  2968.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450,  0.020,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  64.5,       
