#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-08-12, 12:18:09,  -04:00,   SWUQ,    2.8468087,  -60.6954384,   267.2, 29.91,   277.4,  50.2,   0.00,   0.00,  -11.49,   0.71,   0.77,  -0.02,  -0.00,      ,  16.0,  27.4,  47.6, 103.96, 115.25,    19.11,  129.17,   90.40,  134.93, 1005.61,   50.99,  645.49,   228.1,   0,  GPS,  183.4, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-08-12, 12:18:09,  -04:00,   SWUQ,    2.8468089,  -60.6954384,   267.2, 29.91,   277.4,  50.2,   0.00,   0.00,  -10.02,   0.71,   0.76,  -0.02,  -0.01,      ,  16.0,  27.4,  47.1, 103.96, 115.35,    19.09,  129.22,   90.42,  134.90, 1005.55,   50.98,  645.91,   228.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-08-12, 12:18:10,  -04:00,   SWUQ,    2.8468091,  -60.6954384,   267.2, 29.91,   277.4,  50.0,   0.00,   0.00,   -3.70,   0.70,   0.75,  -0.01,  -0.00,      ,  16.0,  27.4,  46.0, 103.89, 115.35,    19.08,  129.33,   90.42,  135.20, 1006.58,   51.01,  646.67,   228.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-08-12, 12:18:10,  -04:00,   SWUQ,    2.8468094,  -60.6954384,   267.2, 29.91,   277.3,  50.0,   0.00,   0.00,   -2.71,   0.71,   0.78,  -0.02,  -0.01,      ,  16.0,  27.5,  45.1, 103.89, 115.35,    19.07,  129.41,   90.40,  135.23, 1007.83,   51.06,  647.12,   228.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-08-12, 12:18:11,  -04:00,   SWUQ,    2.8468089,  -60.6954384,   267.2, 29.91,   277.9,  49.8,   0.00,   0.00,   -4.53,   0.71,   0.77,  -0.01,  -0.02,      ,  16.0,  27.5,  44.2, 103.81, 115.35,    19.06,  129.50,   90.42,  136.49, 1009.07,   51.10,  646.50,   228.7,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-08-12, 12:18:13,  -04:00,   SWUQ,    2.8468084,  -60.6954384,   267.2, 29.91,   278.6,  49.8,   0.00,   0.00,   -2.71,   0.70,   0.77,  -0.01,  -0.01,      ,  16.0,  27.5,  43.3, 103.74, 115.35,    19.06,  129.57,   90.43,  136.99, 1010.20,   51.16,  645.79,   229.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  73.5,       
2023-08-12, 12:18:13,  -04:00,   SWUQ,    2.8468082,  -60.6954384,   267.2, 29.91,   277.9,  49.5,   0.00,   0.00,   -1.23,   0.73,   0.78,  -0.02,   0.00,      ,  16.0,  27.5,  42.2, 103.74, 115.35,    19.03,  129.66,   90.40,  136.33, 1010.92,   51.20,  645.16,   228.7,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  74.0,       
2023-08-12, 12:18:14,  -04:00,   SWUQ,    2.8468082,  -60.6954384,   267.2, 29.91,   277.9,  49.5,   0.00,   0.00,   -0.50,   0.71,   0.77,  -0.01,   0.00,      ,  16.0,  27.5,  40.8, 103.66, 115.35,    19.00,  129.74,   90.40,  136.53, 1011.27,   51.21,  644.79,   228.7,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  74.0,       
2023-08-12, 12:18:16,  -04:00,   SWUQ,    2.8468084,  -60.6954384,   267.2, 29.91,   277.9,  49.2,   0.00,   0.00,   -0.19,   0.71,   0.75,  -0.01,   0.00,      ,  16.0,  27.6,  39.8, 103.59, 115.35,    18.99,  129.83,   90.37,  136.64, 1011.28,   51.23,  644.65,   228.7,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  74.0,       
2023-08-12, 12:18:17,  -04:00,   SWUQ,    2.8468084,  -60.6954384,   268.2, 29.91,   277.8,  49.0,   0.00,   0.00,    2.99,   0.73,   0.75,  -0.01,   0.01,      ,  16.0,  27.6,  38.7, 103.51, 115.25,    18.96,  129.92,   90.42,  136.21, 1011.43,   51.24,  645.25,   228.6,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  74.0,       
2023-08-12, 12:18:17,  -04:00,   SWUQ,    2.8468087,  -60.6954384,   267.2, 29.91,   277.4,  49.0,   0.00,   0.00,    7.66,   0.73,   0.76,  -0.01,   0.01,      ,  16.0,  27.6,  37.4, 103.51, 115.25,    18.94,  130.01,   90.39,  136.39, 1013.19,   51.24,  645.06,   228.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.324,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  74.0,       
