#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="268F73AC2", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-08-16, 11:51:53,  +00:00,       ,    2.8469501,  -60.6954727,   267.9, 29.88,   281.8,  35.5,   0.00,   0.00,    0.00,   0.30,   0.08,   0.00,   0.00, 257.2, 286.1,  27.9,  14.6, 105.62, 107.51,    18.26,   88.61,  100.59,  127.64,  955.51,   51.14,  624.42,   232.6,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:51:53,  +00:00,       ,    2.8469501,  -60.6954727,   267.9, 29.88,   281.7,  35.5,   0.00,   0.00,    0.00,   0.30,   0.08,   0.00,   0.00, 257.2, 286.1,  27.9,  14.3, 105.62, 107.51,    18.26,   88.68,  100.58,  128.11,  955.77,   51.14,  625.05,   232.5,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:51:55,  +00:00,       ,    2.8469503,  -60.6954727,   267.9, 29.88,   281.4,  35.2,   0.00,   0.00,    0.00,   0.27,   0.07,  -0.00,  -0.01, 257.1, 286.1,  27.9,  14.2, 105.77, 107.51,    18.28,   88.93,  100.53,  128.90,  955.22,   51.14,  625.95,   232.1,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:51:56,  +00:00,       ,    2.8469503,  -60.6954727,   267.9, 29.88,   281.0,  35.2,   0.00,   0.00,    0.00,   0.26,   0.08,   0.00,  -0.00, 257.1, 286.1,  27.9,  14.0, 105.85, 107.36,    18.28,   89.10,  100.56,  129.37,  955.05,   51.18,  626.63,   231.8,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:51:57,  +00:00,       ,    2.8469503,  -60.6954727,   267.9, 29.88,   280.7,  35.2,   0.00,   0.00,    0.00,   0.26,   0.10,  -0.00,  -0.01, 257.1, 286.1,  27.9,  13.7, 105.92, 107.36,    18.27,   89.27,  100.52,  128.47,  955.46,   51.20,  627.10,   231.5,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:51:58,  +00:00,       ,    2.8469493,  -60.6954727,   267.9, 29.88,   282.4,  35.0,   0.00,   0.00,    0.00,   0.25,   0.10,  -0.00,  -0.01, 257.2, 286.1,  27.9,  13.4, 105.92, 107.36,    18.25,   89.45,  100.52,  128.31,  955.09,   51.20,  627.08,   233.2,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:51:59,  +00:00,       ,    2.8469491,  -60.6954727,   267.9, 29.88,   282.4,  35.0,   0.00,   0.00,    0.00,   0.27,   0.11,   0.00,   0.00, 257.1, 286.1,  27.9,  13.2, 105.92, 107.28,    18.25,   89.64,  100.52,  128.87,  955.36,   51.20,  627.21,   233.2,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:52:00,  +00:00,       ,    2.8469491,  -60.6954803,   267.9, 29.88,   282.4,  35.0,   0.00,   0.00,    0.00,   0.27,   0.09,  -0.00,  -0.00, 257.1, 286.1,  27.9,  13.0, 105.92, 107.20,    18.25,   89.82,  100.49,  129.82,  955.65,   51.21,  627.71,   233.2,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:52:01,  +00:00,       ,    2.8469491,  -60.6954803,   267.9, 29.88,   282.5,  35.0,   0.00,   0.00,    0.00,   0.27,   0.10,   0.00,   0.00, 257.1, 286.1,  27.9,  12.8, 105.92, 107.20,    18.28,   90.02,  100.50,  130.58,  956.94,   51.24,  628.08,   233.2,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2023-08-16, 11:52:02,  +00:00,       ,    2.8469486,  -60.6954803,   267.9, 29.88,   282.5,  34.8,   0.00,   0.00,    0.00,   0.27,   0.09,   0.00,  -0.00, 257.2, 286.1,  27.9,  12.8, 105.92, 107.13,    18.28,   90.21,  100.40,  130.30,  957.01,   51.25,  628.52,   233.3,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
