#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-08-29, 08:22:02,  -04:00,       ,    2.8469484,  -60.6954918,   263.7, 29.97,   275.6,  37.5,   0.00,   0.00,  -17.38,   0.20,   0.52,  -0.01,   0.00, 259.7, 286.2,  28.0,  34.0, 124.69, 134.40,    19.58,   91.22,   91.65,  139.46,  983.17,   51.00,  627.71,   226.3,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:02,  -04:00,       ,    2.8469484,  -60.6954918,   263.7, 29.97,   275.6,  37.5,   0.00,   0.00,  -17.38,   0.20,   0.52,  -0.01,   0.00, 259.7, 286.2,  28.0,  34.0, 124.69, 134.40,    19.58,   91.22,   91.65,  139.46,  983.17,   51.00,  627.71,   226.3,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:03,  -04:00,       ,    2.8469493,  -60.6954918,   264.7, 29.97,   274.4,  37.2,   0.00,   0.00,  -17.89,   0.45,   0.48,  -0.01,  -0.01, 259.7, 286.2,  28.0,  33.4, 124.69, 134.40,    19.56,   91.35,   91.60,  138.92,  983.44,   51.01,  629.41,   225.2,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      , -106.3,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:05,  -04:00,       ,    2.8469512,  -60.6954918,   264.7, 29.97,   273.5,  37.2,   0.00,   0.00,    3.27,   0.31,   0.46,  -0.00,   0.00, 259.7, 286.2,  28.1,  32.8, 124.69, 134.48,    19.53,   91.61,   91.60,  139.16,  989.58,   51.10,  630.62,   224.3,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:06,  -04:00,       ,    2.8469503,  -60.6954918,   265.7, 29.97,   272.2,  37.2,   0.00,   0.00,    6.61,   0.30,   0.47,  -0.01,  -0.00, 259.7, 286.2,  28.1,  32.7, 124.69, 134.48,    19.51,   91.75,   91.60,  139.71,  991.30,   51.14,  630.36,   223.0,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:07,  -04:00,       ,    2.8469510,  -60.6954918,   266.7, 29.97,   271.7,  37.2,   0.00,   0.00,   20.01,   0.29,   0.48,   0.00,   0.00, 259.7, 286.2,  28.1,  32.4, 124.69, 134.48,    19.52,   91.89,   91.58,  140.21,  991.51,   51.19,  630.38,   222.4,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:08,  -04:00,       ,    2.8469510,  -60.6954918,   264.7, 29.97,   271.3,  37.0,   0.00,   0.00,   17.99,   0.26,   0.46,  -0.00,  -0.00, 259.6, 286.2,  28.2,  31.7, 124.69, 134.48,    19.49,   92.04,   91.57,  138.91,  992.05,   51.18,  631.03,   222.1,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:09,  -04:00,       ,    2.8469510,  -60.6954918,   263.7, 29.97,   271.2,  37.0,   0.00,   0.00,   -5.04,   0.26,   0.47,  -0.01,   0.00, 259.7, 286.2,  28.2,  30.9, 124.69, 134.48,    19.47,   92.21,   91.65,  137.81,  995.62,   51.18,  631.89,   222.0,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:11,  -04:00,       ,    2.8469505,  -60.6954918,   263.7, 29.97,   270.6,  37.0,   0.00,   0.00,  -21.11,   0.29,   0.51,  -0.01,  -0.00, 259.7, 286.2,  28.2,  30.2, 124.69, 134.48,    19.44,   92.50,   91.56,  137.99, 1003.57,   51.29,  631.31,   221.4,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:12,  -04:00,       ,    2.8469512,  -60.6954918,   263.7, 29.97,   272.0,  36.8,   0.00,   0.00,  -16.09,   0.29,   0.49,  -0.00,  -0.00, 259.6, 286.2,  28.3,  29.7, 124.78, 134.48,    19.43,   92.67,   91.57,  137.06, 1006.85,   51.29,  630.60,   222.8,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:13,  -04:00,       ,    2.8469510,  -60.6954918,   263.7, 29.97,   272.4,  36.8,   0.00,   0.00,   -9.14,   0.30,   0.47,  -0.01,   0.00, 259.7, 286.2,  28.3,  29.0, 124.78, 134.48,    19.40,   92.84,   91.55,  137.08, 1010.13,   51.32,  630.16,   223.2,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:14,  -04:00,       ,    2.8469510,  -60.6954918,   263.7, 29.97,   272.6,  36.8,   0.00,   0.00,   -4.20,   0.29,   0.48,  -0.01,   0.00, 259.7, 286.2,  28.3,  28.2, 124.78, 134.40,    19.38,   93.01,   91.49,  137.48, 1011.13,   51.32,  629.53,   223.4,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
2023-08-29, 08:22:15,  -04:00,       ,    2.8469510,  -60.6954918,   263.7, 29.97,   272.7,  36.8,   0.00,   0.00,   -3.17,   0.29,   0.49,  -0.00,   0.00, 259.7, 286.2,  28.3,  27.7, 124.78, 134.32,    19.35,   93.19,   91.51,  137.79, 1009.70,   51.33,  629.14,   223.5,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  57.5,       
