#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="24D2D62A1", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-08-29, 12:17:05,  +00:00,   SWUQ,    2.8463299,  -60.6955757,    93.8, 29.80,   278.0,  32.8,   0.00,   0.00,   -6.53,   0.79,  -0.24,   0.01,   0.01, 351.4, 106.7,  27.2,  23.8, 107.65, 109.69,    19.31,   92.51,  100.07,  108.40,  972.93,   48.38,  659.84,   228.9,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:05,  +00:00,   SWUQ,    2.8463299,  -60.6955757,    93.8, 29.80,   278.1,  32.8,   0.00,   0.00,  -12.41,   0.79,  -0.24,   0.00,   0.01, 351.4, 106.7,  27.2,  23.7, 107.65, 109.69,    19.31,   92.59,   99.97,  108.40,  972.93,   48.38,  659.84,   228.9,   0,  GPS,   79.0, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:06,  +00:00,   SWUQ,    2.8463302,  -60.6955757,   257.7, 29.97,   278.4,  32.8,   0.00,   0.00,  -10.65,   0.79,  -0.25,   0.00,   0.01, 351.4, 106.7,  27.3,  23.0, 107.65, 109.69,    19.31,   92.89,   99.94,  108.66,  975.10,   48.45,  659.38,   229.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:07,  +00:00,   SWUQ,    2.8463311,  -60.6955757,   256.7, 29.97,   278.4,  32.8,   0.00,   0.00,  -15.42,   0.79,  -0.22,   0.00,   0.01, 351.4, 106.7,  27.3,  22.3, 107.65, 109.69,    19.30,   93.11,   99.98,  108.88,  974.83,   48.47,  659.31,   229.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:08,  +00:00,   SWUQ,    2.8463311,  -60.6955757,   258.7, 29.97,   278.5,  32.8,   0.00,   0.00,  -15.12,   0.78,  -0.24,   0.01,  -0.00, 351.4, 106.7,  27.3,  21.8, 107.65, 109.69,    19.27,   93.32,  100.00,  108.74,  973.50,   48.42,  660.45,   229.3,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:09,  +00:00,   SWUQ,    2.8463311,  -60.6955757,   257.7, 29.97,   278.5,  32.5,   0.00,   0.00,   -6.47,   0.77,  -0.23,   0.00,  -0.01, 351.4, 106.7,  27.2,  21.3, 107.80, 109.53,    19.28,   93.52,   99.99,  108.46,  971.80,   48.37,  662.16,   229.3,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:10,  +00:00,   SWUQ,    2.8463314,  -60.6955757,   256.7, 29.97,   278.5,  32.5,   0.00,   0.00,   -9.66,   0.80,  -0.25,   0.01,  -0.00, 351.4, 106.7,  27.2,  20.7, 107.96, 109.53,    19.26,   93.70,   99.99,  108.24,  970.08,   48.31,  663.51,   229.3,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:11,  +00:00,   SWUQ,    2.8463314,  -60.6955757,   256.7, 29.97,   278.5,  32.5,   0.00,   0.00,  -11.74,   0.78,  -0.24,   0.00,   0.00, 351.4, 106.7,  27.2,  20.1, 107.96, 109.53,    19.25,   93.93,   99.92,  107.91,  968.58,   48.27,  664.94,   229.3,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:12,  +00:00,   SWUQ,    2.8463309,  -60.6955757,   257.7, 29.97,   278.3,  32.5,   0.00,   0.00,   -8.91,   0.79,  -0.26,  -0.00,   0.00, 351.4, 106.7,  27.2,  19.7, 108.03, 109.46,    19.24,   94.13,   99.88,  107.56,  967.52,   48.26,  666.39,   229.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:13,  +00:00,   SWUQ,    2.8463299,  -60.6955757,   257.7, 29.97,   278.3,  32.5,   0.00,   0.00,   -0.63,   0.80,  -0.26,   0.00,  -0.01, 351.4, 106.7,  27.2,  19.4, 108.19, 109.38,    19.23,   94.34,   99.81,  107.56,  966.76,   48.26,  667.64,   229.1,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
2023-08-29, 12:17:14,  +00:00,   SWUQ,    2.8463299,  -60.6955757,   258.7, 29.97,   278.2,  32.5,   0.00,   0.00,    8.48,   0.79,  -0.25,   0.01,   0.01, 351.3, 106.7,  27.2,  19.1, 108.19, 109.30,    19.24,   94.55,   99.86,  107.67,  966.99,   48.29,  668.46,   229.0,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.296,       ,       ,      ,  177.2,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  56.5,       
