#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-09-05, 09:45:08,  -04:00,       ,    2.8356714,  -63.6489067,  2909.5, 30.06,  2980.3,  37.8,   0.00,   0.00,    7.14,   1.05,   1.24,  -0.02,  -0.00,  29.4, 284.4,  26.6,  86.6,  92.86,  55.25,    17.99,  158.27,   86.89,  133.46, 1010.52,   51.12,  673.24,  2955.4,   0,  GPS,  300.7, 109.30, 109.30, 123.450, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 100.0,       
2023-09-05, 09:45:08,  -04:00,       ,    2.8356714,  -63.6489067,  2909.5, 30.06,  2980.3,  37.8,   0.00,   0.00,    7.14,   1.05,   1.24,  -0.02,  -0.00,  29.4, 284.4,  26.6,  86.6,  92.86,  55.25,    17.99,  158.27,   86.89,  133.46, 1010.52,   51.12,  673.24,  2955.4,   0,  GPS,  300.7, 109.30, 109.30, 123.450, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 100.0,       
2023-09-05, 09:45:09,  -04:00,       ,    2.8356729,  -63.6489067,  2909.5, 30.06,  2979.0,  37.5,   0.00,   0.00,    3.66,   1.05,   1.23,  -0.01,   0.00,  29.4, 284.4,  26.6,  85.8,  92.86,  55.12,    17.96,  158.24,   87.02,  132.75, 1011.52,   51.14,  673.01,  2954.1,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 114.0,       
2023-09-05, 09:45:10,  -04:00,       ,    2.8356729,  -63.6489067,  2909.5, 30.06,  2979.1,  37.5,   0.00,   0.00,    1.57,   1.05,   1.21,  -0.01,  -0.01,  29.4, 284.4,  26.6,  84.1,  92.86,  55.12,    17.95,  158.20,   87.10,  132.23, 1012.50,   51.13,  673.03,  2954.2,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 114.0,       
2023-09-05, 09:45:11,  -04:00,       ,    2.8356729,  -63.6489067,  2909.5, 30.06,  2979.6,  37.2,   0.00,   0.00,    4.41,   1.09,   1.22,  -0.02,  -0.00,  29.4, 284.4,  26.6,  83.5,  92.86,  55.12,    17.96,  158.15,   86.93,  132.68, 1013.10,   51.14,  673.10,  2954.8,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 114.0,       
2023-09-05, 09:45:12,  -04:00,       ,    2.8356731,  -63.6489067,  2909.5, 30.06,  2980.4,  37.2,   0.00,   0.00,    3.92,   1.10,   1.23,  -0.01,  -0.00,  29.4, 284.4,  26.6,  82.6,  92.86,  55.12,    17.97,  158.09,   87.13,  133.86, 1013.59,   51.19,  672.69,  2955.5,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 114.0,       
2023-09-05, 09:45:13,  -04:00,       ,    2.8356736,  -63.6489067,  2909.5, 30.06,  2980.5,  37.0,   0.00,   0.00,    1.99,   1.09,   1.23,  -0.01,   0.01,  29.4, 284.4,  26.6,  82.0,  92.86,  55.12,    17.94,  158.03,   87.11,  133.87, 1014.29,   51.21,  672.33,  2955.6,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 114.0,       
2023-09-05, 09:45:14,  -04:00,       ,    2.8356738,  -63.6489067,  2909.5, 30.06,  2980.3,  37.0,   0.00,   0.00,    0.85,   1.09,   1.23,  -0.02,  -0.00,  29.4, 284.4,  26.6,  80.8,  92.92,  55.12,    17.93,  157.97,   87.06,  133.59, 1015.38,   51.26,  671.76,  2955.4,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 114.0,       
2023-09-05, 09:45:15,  -04:00,   SBBV,    2.8356786,  -63.6489029,  2909.5, 30.06,  2979.8,  36.8,   0.00,   0.00,    0.33,   1.11,   1.21,  -0.02,  -0.00,  29.4, 284.4,  26.6,  80.1,  92.92,  55.12,    17.94,  157.91,   86.98,  134.05, 1015.92,   51.27,  670.79,  2954.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-05, 09:45:16,  -04:00,   SBBV,    2.8356783,  -63.6489029,  2909.5, 30.06,  2979.7,  36.8,   0.00,   0.00,    1.31,   1.12,   1.21,  -0.02,  -0.01,  29.4, 284.4,  26.7,  79.9,  92.92,  55.12,    17.94,  157.85,   87.10,  134.06, 1016.74,   51.30,  670.12,  2954.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-05, 09:45:17,  -04:00,   SBBV,    2.8356786,  -63.6489029,  2909.5, 30.06,  2979.8,  36.8,   0.00,   0.00,    5.41,   1.10,   1.22,  -0.01,   0.01,  29.4, 284.4,  26.7,  79.5,  92.92,  55.12,    17.94,  157.79,   87.09,  134.54, 1017.01,   51.32,  669.83,  2954.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 1852,      ,       , 121.0,       
2023-09-05, 09:45:18,  -04:00,   SBBV,    2.8356793,  -63.6489067,  2908.5, 30.06,  2979.7,  36.5,   0.00,   0.00,   -0.99,   1.08,   1.24,  -0.02,   0.01,  29.4, 284.4,  26.7,  78.8,  92.92,  55.25,    17.90,  157.73,   87.16,  135.16, 1015.63,   51.33,  669.47,  2954.8,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 121.0,       
2023-09-05, 09:45:19,  -04:00,   SBBV,    2.8356776,  -63.6489067,  2908.5, 30.06,  2980.1,  36.5,   0.00,   0.00,   -8.50,   1.08,   1.23,  -0.02,   0.01,  29.4, 284.4,  26.7,  78.8,  92.92,  55.25,    17.88,  157.67,   87.10,  135.90, 1014.06,   51.32,  668.83,  2955.2,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:20,  -04:00,   SBBV,    2.8356776,  -63.6489067,  2909.5, 30.06,  2980.4,  36.5,   0.00,   0.00,   -6.04,   1.10,   1.20,  -0.02,  -0.01,  29.4, 284.4,  26.7,  78.1,  92.92,  55.25,    17.88,  157.61,   87.27,  136.31, 1013.33,   51.35,  668.14,  2955.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:21,  -04:00,   SBBV,    2.8356776,  -63.6489067,  2909.5, 30.06,  2980.5,  36.2,   0.00,   0.00,   -1.51,   1.09,   1.21,  -0.02,   0.00,  29.4, 284.4,  26.7,  78.0,  92.92,  55.25,    17.89,  157.56,   87.32,  136.77, 1013.16,   51.39,  667.29,  2955.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:22,  -04:00,   SBBV,    2.8356771,  -63.6489067,  2909.5, 30.06,  2980.6,  36.2,   0.00,   0.00,   -0.36,   1.07,   1.22,  -0.02,  -0.00,  29.4, 284.4,  26.7,  77.1,  92.92,  55.39,    17.88,  157.52,   87.25,  136.89, 1013.04,   51.41,  666.25,  2955.8,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:23,  -04:00,   SBBV,    2.8356767,  -63.6489067,  2909.5, 30.06,  2980.9,  36.0,   0.00,   0.00,   -0.08,   1.05,   1.24,  -0.01,   0.00,  29.4, 284.4,  26.8,  77.1,  92.92,  55.39,    17.87,  157.47,   87.27,  136.82, 1012.78,   51.40,  665.47,  2956.0,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:24,  -04:00,   SBBV,    2.8356767,  -63.6489067,  2909.5, 30.06,  2981.5,  36.0,   0.00,   0.00,   -0.01,   1.05,   1.22,  -0.01,   0.01,  29.4, 284.4,  26.8,  76.4,  92.86,  55.39,    17.87,  157.43,   87.28,  136.17, 1012.80,   51.39,  664.95,  2956.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:25,  -04:00,   SBBV,    2.8356776,  -63.6489067,  2909.5, 30.06,  2982.1,  35.8,   0.00,   0.00,   -0.00,   1.03,   1.24,  -0.02,   0.01,  29.4, 284.4,  26.8,  74.5,  92.86,  55.39,    17.87,  157.40,   87.24,  135.59, 1012.60,   51.39,  664.67,  2957.2,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:26,  -04:00,   SBBV,    2.8356781,  -63.6489067,  2909.5, 30.06,  2982.5,  35.8,   0.00,   0.00,    0.00,   1.02,   1.26,  -0.02,   0.01,  29.4, 284.4,  26.8,  73.7,  92.86,  55.39,    17.87,  157.36,   87.36,  134.88, 1012.20,   51.37,  664.95,  2957.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:27,  -04:00,   SBBV,    2.8356781,  -63.6489067,  2909.5, 30.06,  2982.6,  35.5,   0.00,   0.00,    0.00,   1.04,   1.23,  -0.02,  -0.00,  29.4, 284.4,  26.8,  72.6,  92.86,  55.52,    17.87,  157.33,   87.25,  134.86, 1012.05,   51.34,  665.57,  2957.7,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:28,  -04:00,   SBBV,    2.8356783,  -63.6489067,  2909.5, 30.06,  2982.7,  35.5,   0.00,   0.00,    0.00,   1.04,   1.26,  -0.02,  -0.00,  29.4, 284.4,  26.8,  72.3,  92.80,  55.52,    17.86,  157.31,   87.37,  134.93, 1011.93,   51.34,  666.09,  2957.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
2023-09-05, 09:45:29,  -04:00,   SBBV,    2.8356783,  -63.6489067,  2909.5, 30.06,  2982.6,  35.5,   0.00,   0.00,    0.00,   1.03,   1.26,  -0.01,   0.00,  29.4, 284.4,  26.8,  71.8,  92.80,  55.52,    17.86,  157.28,   87.21,  134.70, 1011.66,   51.34,  666.42,  2957.7,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 122.500,  0.024,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       , 103.0,       
