#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-09-25, 08:55:55,  -04:00,   SWUQ,    2.8470857,  -60.6955223,   267.2, 29.91,   282.2,  42.2,   0.00,   0.00,   -1.41,   0.76,   0.54,  -0.00,  -0.01, 258.9, 286.2,  27.6,  53.4, 110.88, 116.34,    19.66,   91.91,   91.52,  137.85,  986.42,   50.71,  639.12,   233.0,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:55:55,  -04:00,   SWUQ,    2.8470855,  -60.6955223,   267.2, 29.91,   282.3,  42.2,   0.00,   0.00,   -1.01,   0.75,   0.54,  -0.00,   0.01, 258.9, 286.2,  27.5,  53.4, 110.88, 116.34,    19.65,   91.97,   91.51,  137.71,  987.22,   50.72,  639.50,   233.0,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:55:56,  -04:00,   SWUQ,    2.8470855,  -60.6955223,   267.2, 29.91,   281.5,  42.0,   0.00,   0.00,   -0.26,   0.76,   0.55,  -0.00,   0.00, 258.9, 286.2,  27.6,  52.9, 110.88, 116.34,    19.63,   92.16,   91.51,  137.10,  989.77,   50.74,  640.33,   232.2,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:55:58,  -04:00,   SWUQ,    2.8470848,  -60.6955223,   267.2, 29.91,   281.8,  42.0,   0.00,   0.00,   -0.10,   0.74,   0.54,  -0.00,   0.00, 258.9, 286.2,  27.6,  53.1, 110.88, 116.34,    19.59,   92.30,   91.48,  137.31,  991.19,   50.76,  640.67,   232.6,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:55:58,  -04:00,   SWUQ,    2.8470845,  -60.6955223,   267.2, 29.91,   281.7,  41.8,   0.00,   0.00,   -0.04,   0.73,   0.54,  -0.01,   0.00, 258.9, 286.2,  27.6,  52.7, 110.88, 116.34,    19.57,   92.44,   91.45,  137.31,  991.85,   50.77,  640.69,   232.5,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:55:59,  -04:00,   SWUQ,    2.8470840,  -60.6955223,   267.2, 29.91,   281.7,  41.8,   0.00,   0.00,   -0.01,   0.71,   0.54,  -0.00,   0.01, 258.9, 286.2,  27.6,  51.9, 110.88, 116.34,    19.55,   92.58,   91.44,  136.93,  991.89,   50.77,  640.96,   232.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:56:01,  -04:00,   SWUQ,    2.8470840,  -60.6955223,   267.2, 29.91,   281.7,  41.5,   0.00,   0.00,   -0.00,   0.70,   0.55,  -0.01,   0.00, 258.9, 286.2,  27.6,  51.4, 110.79, 116.34,    19.52,   92.75,   91.38,  136.97,  991.56,   50.78,  641.28,   232.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:56:01,  -04:00,   SWUQ,    2.8470845,  -60.6955223,   267.2, 29.91,   281.7,  41.5,   0.00,   0.00,   -0.00,   0.73,   0.53,  -0.00,   0.00, 258.9, 286.2,  27.6,  50.6, 110.79, 116.34,    19.49,   92.89,   91.42,  136.42,  991.48,   50.77,  642.05,   232.4,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:56:02,  -04:00,   SWUQ,    2.8470848,  -60.6955223,   267.2, 29.91,   281.5,  41.2,   0.00,   0.00,    2.72,   0.73,   0.52,  -0.01,  -0.00, 258.9, 286.2,  27.6,  50.1, 110.79, 116.34,    19.48,   93.06,   91.37,  136.25,  992.05,   50.77,  642.38,   232.3,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
2023-09-25, 08:56:04,  -04:00,   SWUQ,    2.8470855,  -60.6955223,   268.2, 29.91,   281.0,  41.2,   0.00,   0.00,    8.49,   0.74,   0.52,  -0.01,   0.00, 258.9, 286.2,  27.6,  48.9, 110.69, 116.34,    19.47,   93.22,   91.56,  136.43,  992.73,   50.79,  642.61,   231.8,   0,  GPS,  285.9, 109.30, 109.30, 118.100, 122.500, -0.341,       ,       ,      ,  176.9,  -74.2,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  60.0,       
