#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="268F73AC2", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-10-05, 19:18:41,  +00:00,   SBBV,    2.8357427,  -63.6490097,  2974.0, 29.92,  3000.4,  39.2,   0.00,   0.00,   -1.39,   0.51,   1.05,  -0.02,   0.00,  30.9, 284.2,  27.0,  78.4,  91.75,  81.39,    16.35,  172.06,   88.74,   98.02, 1010.27,   50.27,  691.42,  2975.6,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:41,  +00:00,   SBBV,    2.8357427,  -63.6490097,  2974.0, 29.92,  3000.4,  39.2,   0.00,   0.00,   -1.39,   0.51,   1.05,  -0.02,   0.00,  30.9, 284.2,  27.0,  78.4,  91.75,  81.39,    16.35,  172.06,   88.74,   98.02, 1010.27,   50.27,  691.42,  2975.6,   0,  GPS,  300.7, 109.30, 109.30, 125.400, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:42,  +00:00,   SBBV,    2.8357418,  -63.6490097,  2974.0, 29.92,  3001.2,  39.2,   0.00,   0.00,   -4.21,   0.51,   1.05,  -0.02,   0.01,  30.9, 284.2,  27.0,  78.0,  91.75,  81.39,    16.33,  171.97,   88.66,   96.94, 1017.35,   50.26,  690.92,  2976.3,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:43,  +00:00,   SBBV,    2.8357427,  -63.6490097,  2974.0, 29.92,  3001.4,  39.0,   0.00,   0.00,   -2.43,   0.53,   1.07,  -0.02,   0.00,  30.9, 284.2,  27.1,  77.0,  91.75,  81.39,    16.34,  171.89,   88.55,   97.37, 1018.63,   50.25,  690.92,  2976.5,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:44,  +00:00,   SBBV,    2.8357427,  -63.6490097,  2974.0, 29.92,  3000.5,  39.0,   0.00,   0.00,    2.88,   0.51,   1.10,  -0.02,   0.00,  30.9, 284.2,  27.1,  75.5,  91.75,  81.39,    16.35,  171.80,   88.61,   97.59, 1019.15,   50.25,  690.93,  2975.7,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:45,  +00:00,   SBBV,    2.8357427,  -63.6490097,  2975.0, 29.92,  3000.4,  39.0,   0.00,   0.00,   10.22,   0.51,   1.07,  -0.02,  -0.00,  30.9, 284.2,  27.1,  74.7,  91.75,  81.52,    16.35,  171.70,   88.68,   97.08, 1019.02,   50.23,  690.97,  2975.6,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:46,  +00:00,   SBBV,    2.8357430,  -63.6490097,  2976.0, 29.92,  3000.3,  38.8,   0.00,   0.00,   20.85,   0.53,   1.07,  -0.03,  -0.01,  30.9, 284.2,  27.1,  74.0,  91.75,  81.52,    16.33,  171.60,   88.54,   96.67, 1019.68,   50.21,  691.39,  2975.5,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:47,  +00:00,   SBBV,    2.8357430,  -63.6490097,  2975.0, 29.92,  3000.1,  38.8,   0.00,   0.00,   20.74,   0.51,   1.08,  -0.02,   0.00,  30.9, 284.2,  27.1,  72.8,  91.75,  81.52,    16.33,  171.50,   88.58,   96.71, 1020.58,   50.21,  691.66,  2975.3,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:48,  +00:00,   SBBV,    2.8357441,  -63.6490097,  2975.0, 29.92,  2999.4,  38.8,   0.00,   0.00,   10.22,   0.49,   1.04,  -0.02,   0.00,  30.9, 284.2,  27.1,  71.2,  91.75,  81.52,    16.33,  171.38,   88.69,   97.13, 1022.34,   50.22,  691.63,  2974.5,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
2023-10-05, 19:18:51,  +00:00,   SBBV,    2.8357434,  -63.6490097,  2975.0, 29.92,  3000.3,  38.5,   0.00,   0.00,    9.65,   0.47,   1.07,  -0.01,  -0.00,  30.9, 284.2,  27.1,  69.9,  91.75,  81.52,    16.35,  171.16,   88.87,   98.03, 1022.40,   50.27,  690.81,  2975.5,   0,  GPS,  104.3, 109.30, 109.30, 123.450, 123.450,  0.028,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 1852,      ,       ,  72.5,       
