"#airframe_info, log_version=""1.00"", airframe_name=""Cessna 208B"", unit_software_part_number=""006-B0319-A3"", unit_software_version=""12.03"", system_software_part_number=""006-B0767-13"", system_id=""26E31B8FD"", mode=NORMAL, "
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2022-10-26, 17:53:58,  +00:00,       ,   -3.1444504,  -59.9845390,   251.9, 29.74,   270.4,  38.5,   0.00,   0.00,   -2.56,  -0.05,  -0.41,   0.01,   0.00,   4.1, 286.2,  27.7,  54.9, 133.23,  96.82,    18.85,  123.99,   95.41,  136.58,  949.32,   51.13,  657.02,   233.2,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2022-10-26, 17:53:58,  +00:00,       ,   -3.1444504,  -59.9845390,   251.9, 29.74,   270.4,  38.5,   0.00,   0.00,   -2.56,  -0.05,  -0.41,   0.01,   0.00,   4.1, 286.2,  27.7,  54.9, 133.23,  96.82,    18.85,  123.99,   95.41,  136.58,  949.32,   51.13,  657.02,   233.2,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.0,       
2022-10-26, 17:54:00,  +00:00,       ,   -3.1444511,  -59.9845390,   251.9, 29.74,   270.9,  38.2,   0.00,   0.00,   -1.31,  -0.08,  -0.38,   0.00,   0.00,   4.2, 286.2,  27.8,  53.7, 133.14,  96.82,    18.84,  124.02,   95.55,  136.52,  949.82,   51.15,  657.15,   233.7,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  68.5,       
2022-10-26, 17:54:00,  +00:00,       ,   -3.1444492,  -59.9845467,   251.9, 29.74,   270.8,  38.2,   0.00,   0.00,   -0.56,  -0.05,  -0.41,   0.00,   0.00,   4.1, 286.2,  27.8,  52.5, 133.14,  96.82,    18.82,  124.05,   95.50,  136.57,  950.57,   51.18,  657.06,   233.6,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
2022-10-26, 17:54:01,  +00:00,       ,   -3.1444492,  -59.9845467,   251.9, 29.74,   271.0,  38.2,   0.00,   0.00,   -0.22,  -0.07,  -0.42,   0.01,   0.01,   4.1, 286.2,  27.9,  52.8, 133.14,  96.82,    18.81,  124.09,   95.67,  136.52,  951.22,   51.21,  657.24,   233.8,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
2022-10-26, 17:54:02,  +00:00,       ,   -3.1444492,  -59.9845467,   251.9, 29.74,   271.1,  38.2,   0.00,   0.00,   -0.08,  -0.07,  -0.38,   0.02,   0.00,   4.1, 286.2,  27.8,  49.5, 133.14,  96.82,    18.81,  124.14,   95.60,  136.79,  952.32,   51.24,  657.35,   233.9,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
2022-10-26, 17:54:03,  +00:00,       ,   -3.1444485,  -59.9845467,   251.9, 29.74,   269.9,  38.2,   0.00,   0.00,   -0.03,  -0.09,  -0.40,   0.01,   0.01,   4.2, 286.2,  27.9,  50.3, 133.14,  96.82,    18.78,  124.18,   95.53,  137.03,  953.09,   51.26,  656.89,   232.7,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
2022-10-26, 17:54:04,  +00:00,       ,   -3.1444497,  -59.9845467,   251.9, 29.74,   270.1,  38.0,   0.00,   0.00,   -0.01,  -0.07,  -0.36,   0.01,   0.00,   4.2, 286.2,  27.9,  46.5, 133.14,  96.82,    18.78,  124.24,   95.54,  137.03,  953.82,   51.30,  656.49,   232.9,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
2022-10-26, 17:54:05,  +00:00,       ,   -3.1444490,  -59.9845467,   251.9, 29.74,   269.4,  38.0,   0.00,   0.00,   -0.00,  -0.05,  -0.41,   0.01,  -0.01,   4.1, 286.2,  28.0,  46.6, 133.14,  96.82,    18.76,  124.30,   95.51,  136.87,  954.05,   51.31,  655.95,   232.2,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
2022-10-26, 17:54:07,  +00:00,       ,   -3.1444490,  -59.9845467,   306.8, 29.80,   269.2,  38.0,   0.00,   0.00,   -0.00,  -0.09,  -0.41,   0.00,   0.01,   4.2, 286.2,  28.0,  44.2, 133.06,  96.82,    18.76,  124.37,   95.52,  137.14,  953.88,   51.34,  655.69,   232.0,   0,  GPS,   92.4, 109.30, 109.30, 118.600, 122.500,       ,       ,       ,      ,       ,       ,  -16.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.5,       
