#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="268F73AC2", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-10-11, 13:37:51,  +00:00,       ,    2.8470747,  -60.6955605,   269.9, 29.88,   288.4,  47.0,   0.00,   0.00,   10.89,   0.00,   0.13,  -0.00,  -0.00, 260.8,  95.7,  27.9,   6.9, 112.14, 111.12,    17.17,  170.81,   91.39,  107.18, 1043.91,   51.76,  639.79,   239.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  75.0,       
2023-10-11, 13:37:51,  +00:00,       ,    2.8470747,  -60.6955605,   269.9, 29.88,   288.4,  47.0,   0.00,   0.00,   10.89,   0.00,   0.13,  -0.00,  -0.00, 260.8,  95.7,  27.9,   6.9, 112.14, 111.12,    17.17,  170.81,   91.39,  107.18, 1043.91,   51.76,  639.79,   239.2,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  75.0,       
2023-10-11, 13:37:52,  +00:00,       ,    2.8470747,  -60.6955681,   268.9, 29.88,   288.5,  47.0,   0.00,   0.00,   10.83,   0.00,   0.16,   0.00,  -0.00, 260.8,  95.7,  27.9,   6.7, 112.14, 111.12,    17.13,  170.81,   91.38,  107.59, 1040.48,   51.71,  640.84,   239.3,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:53,  +00:00,       ,    2.8470757,  -60.6955605,   270.9, 29.88,   286.8,  46.8,   0.00,   0.00,    8.93,  -0.01,   0.14,  -0.00,   0.00, 260.8,  95.7,  27.9,   5.4, 112.14, 111.12,    17.12,  170.81,   91.23,  108.50, 1038.68,   51.68,  641.32,   237.6,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:54,  +00:00,       ,    2.8470755,  -60.6955605,   268.9, 29.88,   286.8,  46.8,   0.00,   0.00,   10.33,  -0.01,   0.14,  -0.00,  -0.00, 260.8,  95.7,  27.9,   5.0, 112.14, 110.92,    17.14,  170.80,   91.29,  109.22, 1037.71,   51.67,  641.55,   237.5,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:55,  +00:00,       ,    2.8470764,  -60.6955605,   267.9, 29.88,   285.9,  46.8,   0.00,   0.00,   -7.55,  -0.02,   0.15,  -0.00,  -0.00, 260.8,  95.7,  27.9,   5.0, 112.14, 110.92,    17.13,  170.77,   91.32,  109.09, 1035.27,   51.67,  641.73,   236.7,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:56,  +00:00,       ,    2.8470764,  -60.6955605,   267.9, 29.88,   285.8,  46.5,   0.00,   0.00,  -21.93,  -0.02,   0.13,   0.00,  -0.00, 260.8,  95.7,  27.9,   5.7, 112.14, 110.92,    17.10,  170.73,   91.29,  108.67, 1035.42,   51.65,  642.23,   236.6,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:57,  +00:00,       ,    2.8470767,  -60.6955605,   267.9, 29.88,   285.7,  46.5,   0.00,   0.00,  -26.67,  -0.01,   0.13,  -0.00,   0.00, 260.8,  95.7,  27.9,   4.9, 112.14, 110.82,    17.10,  170.67,   91.24,  109.05, 1035.02,   51.64,  642.15,   236.5,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:58,  +00:00,       ,    2.8470767,  -60.6955605,   267.9, 29.88,   285.5,  46.5,   0.00,   0.00,  -22.52,  -0.03,   0.13,   0.00,   0.01, 260.7,  95.7,  27.9,   4.7, 112.14, 110.61,    17.10,  170.62,   91.31,  108.78, 1034.38,   51.64,  642.18,   236.3,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-10-11, 13:37:59,  +00:00,       ,    2.8470762,  -60.6955605,   267.9, 29.88,   287.3,  46.2,   0.00,   0.00,  -15.59,  -0.02,   0.13,  -0.00,  -0.00, 260.7,  95.7,  27.9,   5.2, 112.14, 110.61,    17.10,  170.55,   91.32,  108.29, 1033.46,   51.62,  642.68,   238.1,   0,  GPS,   78.9, 109.30, 109.30, 118.100, 122.500,       ,       ,       ,      ,       ,       ,  -16.0,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
