#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="288FAA978", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-04-28, 14:26:11,  -05:00,       ,    2.8356476,  -63.6484718,  2915.2, 29.91,  3017.4,  40.0,   0.00,   0.00,    0.00,   0.55,  -1.43,   0.03,  -0.00, 264.2, 284.6,  26.8,  91.4,  63.38,  93.69,    16.92,  167.70,   88.78,  120.23, 1031.55,   51.38,  678.17,  2992.5,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:12,  -05:00,       ,    2.8356476,  -63.6484718,  2915.2, 29.91,  3017.4,  40.0,   0.00,   0.00,    0.00,   0.55,  -1.43,   0.03,  -0.00, 264.2, 284.6,  26.8,  91.4,  63.38,  93.69,    16.92,  167.70,   88.78,  120.23, 1031.55,   51.38,  678.17,  2992.5,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:12,  -05:00,       ,    2.8356476,  -63.6484718,  2915.2, 29.91,  3017.3,  39.8,   0.00,   0.00,    0.00,   0.53,  -1.44,   0.03,   0.00, 264.2, 284.6,  26.8,  91.7,  63.38,  93.69,    16.95,  167.64,   88.86,  120.74, 1034.19,   51.45,  677.96,  2992.4,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:13,  -05:00,       ,    2.8356478,  -63.6484718,  2915.2, 29.91,  3017.2,  39.8,   0.00,   0.00,    0.00,   0.55,  -1.43,   0.02,  -0.01, 264.2, 284.6,  26.9,  92.0,  63.53,  93.69,    16.95,  167.57,   88.88,  121.12, 1033.57,   51.51,  677.60,  2992.3,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:14,  -05:00,       ,    2.8356471,  -63.6484718,  2916.2, 29.91,  3016.8,  39.5,   0.00,   0.00,    0.00,   0.53,  -1.43,   0.03,  -0.00, 264.2, 284.6,  26.9,  90.7,  63.53,  93.69,    16.91,  167.49,   88.91,  121.34, 1033.89,   51.55,  677.01,  2992.0,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:15,  -05:00,       ,    2.8356462,  -63.6484642,  2916.2, 29.91,  3017.6,  39.5,   0.00,   0.00,    0.00,   0.52,  -1.43,   0.03,  -0.00, 264.2, 284.6,  26.9,  89.8,  63.53,  93.69,    16.88,  167.41,   90.64,  121.42, 1034.76,   51.57,  675.76,  2992.7,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:16,  -05:00,       ,    2.8356459,  -63.6484642,  2915.2, 29.91,  3017.6,  39.2,   0.00,   0.00,    0.00,   0.51,  -1.43,   0.03,   0.00, 264.2, 284.6,  26.9,  89.2,  63.53,  93.69,    16.83,  167.34,   90.66,  120.77, 1036.37,   51.58,  674.43,  2992.7,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:17,  -05:00,       ,    2.8356459,  -63.6484642,  2916.2, 29.91,  3017.7,  39.0,   0.00,   0.00,    0.00,   0.48,  -1.44,   0.03,   0.00, 264.2, 284.6,  26.9,  88.3,  63.68,  93.75,    16.81,  167.26,   90.70,  120.29, 1036.40,   51.58,  673.22,  2992.8,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:18,  -05:00,       ,    2.8356459,  -63.6484642,  2916.2, 29.91,  3017.8,  39.0,   0.00,   0.00,    0.00,   0.49,  -1.44,   0.03,   0.00, 264.2, 284.6,  26.9,  87.5,  63.68,  93.75,    16.80,  167.19,   90.65,  119.75, 1039.23,   51.57,  672.36,  2992.9,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
2023-04-28, 14:26:19,  -05:00,       ,    2.8356459,  -63.6484642,  2916.2, 29.91,  3017.9,  38.8,   0.00,   0.00,    0.00,   0.51,  -1.44,   0.03,  -0.00, 264.2, 284.6,  26.9,  87.0,  63.68,  93.75,    16.78,  167.12,   90.59,  120.01, 1037.81,   51.57,  671.79,  2993.0,   0,  GPS,  300.7, 109.30, 113.10, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.0,       
