#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="24D2D62A1", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-06-22, 14:31:50,  +00:00,   SBBV,    2.8356297,  -63.6490250,  2923.2, 30.03,  2990.2,  31.8,   0.00,   0.00,   -0.14,   1.64,   0.26,  -0.00,   0.00,  28.2, 284.5,  26.5,  55.4,  85.18,  66.18,    17.78,  154.47,   91.28,  102.35, 1027.72,   50.30,  683.56,  2965.4,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:50,  +00:00,   SBBV,    2.8356297,  -63.6490250,  2923.2, 30.03,  2990.1,  31.8,   0.00,   0.00,   -0.10,   1.64,   0.26,  -0.00,   0.01,  28.3, 284.5,  26.5,  54.5,  85.18,  66.18,    17.78,  154.45,   91.19,  102.32, 1027.45,   50.31,  683.61,  2965.3,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:51,  +00:00,   SBBV,    2.8356297,  -63.6490250,  2924.2, 30.03,  2989.9,  31.8,   0.00,   0.00,   -0.04,   1.61,   0.26,  -0.00,   0.01,  28.2, 284.5,  26.5,  53.8,  85.18,  66.18,    17.77,  154.41,   91.23,  102.13, 1026.78,   50.28,  683.85,  2965.0,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:52,  +00:00,   SBBV,    2.8356302,  -63.6490250,  2924.2, 30.03,  2989.8,  31.8,   0.00,   0.00,    4.08,   1.63,   0.24,  -0.00,   0.00,  28.2, 284.5,  26.5,  53.1,  85.18,  66.32,    17.76,  154.37,   91.22,  101.64, 1026.34,   50.27,  684.70,  2964.9,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:53,  +00:00,   SBBV,    2.8356295,  -63.6490250,  2924.2, 30.03,  2991.5,  31.5,   0.00,   0.00,   10.18,   1.59,   0.24,  -0.01,  -0.01,  28.2, 284.5,  26.5,  52.9,  85.18,  66.32,    17.76,  154.33,   91.26,  101.54, 1026.38,   50.27,  685.31,  2966.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:54,  +00:00,   SBBV,    2.8356297,  -63.6490250,  2924.2, 30.03,  2991.7,  31.5,   0.00,   0.00,   13.07,   1.59,   0.21,  -0.01,  -0.01,  28.2, 284.5,  26.5,  52.5,  85.18,  66.32,    17.76,  154.28,   91.31,  101.79, 1026.76,   50.28,  685.48,  2966.8,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:55,  +00:00,   SBBV,    2.8356302,  -63.6490250,  2924.2, 30.03,  2991.4,  31.5,   0.00,   0.00,    8.24,   1.60,   0.21,   0.00,  -0.01,  28.2, 284.5,  26.6,  52.2,  85.18,  66.32,    17.77,  154.24,   91.25,  102.00, 1026.86,   50.28,  685.53,  2966.5,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  74.5,       
2023-06-22, 14:31:56,  +00:00,   SBBV,    2.8356349,  -63.6490250,  2924.2, 30.03,  2990.4,  31.5,   0.00,   0.00,    3.81,   1.59,   0.21,  -0.00,   0.00,  28.2, 284.5,  26.6,  52.0,  85.18,  66.32,    17.78,  154.19,   91.44,  102.01, 1027.68,   50.31,  685.60,  2965.5,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.5,       
2023-06-22, 14:31:57,  +00:00,   SBBV,    2.8356349,  -63.6490250,  2924.2, 30.03,  2990.5,  31.2,   0.00,   0.00,    2.47,   1.59,   0.21,  -0.00,   0.01,  28.2, 284.5,  26.6,  51.8,  85.30,  66.32,    17.78,  154.15,   91.43,  101.75, 1028.12,   50.32,  685.84,  2965.6,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.5,       
2023-06-22, 14:31:58,  +00:00,   SBBV,    2.8356349,  -63.6490250,  2924.2, 30.03,  2990.6,  31.2,   0.00,   0.00,    2.56,   1.60,   0.21,  -0.00,  -0.01,  28.2, 284.5,  26.6,  51.8,  85.30,  66.18,    17.79,  154.11,   91.43,  101.93, 1028.92,   50.33,  685.89,  2965.7,   0,  GPS,  104.3, 109.30, 109.30, 119.850, 123.450, -0.001,       ,       ,      ,  177.5,  104.3,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  58.5,       
