#airframe_info, log_version="1.00", airframe_name="Cessna 208B", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0767-13", system_id="22FD4AD32", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,  ft lbs,     rpm,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 Torq,   E1 NP,   E1 NG,  E1 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2023-09-01, 14:55:44,  -04:00,       ,    2.8356230,  -63.6484146,  2921.5, 29.94,  2994.7,  42.8,   0.00,   0.00,  -21.33,   1.46,  -0.53,   0.00,   0.00, 297.9, 284.6,  26.4,  73.5,  97.85,  85.09,    17.74,  171.43,   83.79,  128.13,  989.83,   50.98,  699.35,  2969.8,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2023-09-01, 14:55:44,  -04:00,       ,    2.8356230,  -63.6484146,  2921.5, 29.94,  2994.7,  42.8,   0.00,   0.00,  -21.68,   1.46,  -0.53,   0.01,   0.01, 297.9, 284.6,  26.4,  72.9,  97.85,  85.09,    17.74,  171.43,   83.73,  128.13,  989.83,   50.99,  699.24,  2969.8,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2023-09-01, 14:55:45,  -04:00,       ,    2.8356230,  -63.6484146,  2921.5, 29.94,  2994.7,  42.5,   0.00,   0.00,  -27.45,   1.42,  -0.53,   0.01,   0.00, 297.9, 284.6,  26.4,  72.8,  97.97,  85.09,    17.74,  171.35,   83.86,  128.20,  994.81,   51.04,  698.15,  2969.8,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2023-09-01, 14:55:47,  -04:00,       ,    2.8356242,  -63.6484146,  2921.5, 29.94,  2995.5,  42.2,   0.00,   0.00,  -27.60,   1.42,  -0.53,   0.01,   0.00, 297.9, 284.6,  26.4,  72.4,  98.03,  84.96,    17.71,  171.14,   84.11,  129.15, 1003.68,   51.14,  694.81,  2970.6,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2023-09-01, 14:55:48,  -04:00,       ,    2.8356245,  -63.6484146,  2922.5, 29.94,  2995.5,  42.2,   0.00,   0.00,   -6.84,   1.42,  -0.53,   0.02,  -0.00, 297.9, 284.6,  26.4,  72.0,  98.03,  84.96,    17.69,  171.05,   84.04,  130.25, 1004.77,   51.19,  693.31,  2970.7,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2023-09-01, 14:55:49,  -04:00,       ,    2.8356245,  -63.6484146,  2923.5, 29.94,  2995.7,  42.0,   0.00,   0.00,   19.41,   1.40,  -0.51,   0.01,   0.00, 297.9, 284.6,  26.4,  71.3,  98.09,  84.96,    17.69,  170.95,   84.09,  129.95, 1002.65,   51.18,  693.05,  2970.8,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2023-09-01, 14:55:50,  -04:00,       ,    2.8356245,  -63.6484146,  2923.5, 29.94,  2995.8,  42.0,   0.00,   0.00,   30.69,   1.40,  -0.53,   0.01,   0.00, 297.8, 284.6,  26.4,  69.8,  98.09,  84.96,    17.67,  170.86,   84.03,  127.76,  999.46,   51.13,  693.81,  2970.9,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:51,  -04:00,       ,    2.8356247,  -63.6484146,  2922.5, 29.94,  2995.8,  41.8,   0.00,   0.00,   23.61,   1.40,  -0.54,   0.01,   0.01, 297.8, 284.6,  26.4,  68.7,  98.09,  84.96,    17.67,  170.78,   84.07,  127.26,  996.89,   51.06,  696.12,  2970.9,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:52,  -04:00,       ,    2.8356247,  -63.6484146,  2923.5, 29.94,  2996.0,  41.8,   0.00,   0.00,   11.76,   1.43,  -0.52,   0.01,  -0.01, 297.8, 284.6,  26.4,  67.9,  98.09,  84.84,    17.67,  170.70,   84.08,  126.21,  997.66,   51.03,  698.09,  2971.1,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:53,  -04:00,       ,    2.8356237,  -63.6484146,  2923.5, 29.94,  2995.2,  41.8,   0.00,   0.00,    4.98,   1.43,  -0.51,   0.01,  -0.01, 297.8, 284.6,  26.4,  67.0,  98.03,  84.84,    17.67,  170.61,   84.02,  128.39,  998.89,   51.06,  698.87,  2970.3,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:54,  -04:00,       ,    2.8356237,  -63.6484146,  2922.5, 29.94,  2995.0,  41.5,   0.00,   0.00,   -1.64,   1.38,  -0.54,   0.02,   0.00, 297.8, 284.6,  26.4,  66.3,  98.03,  84.84,    17.69,  170.53,   84.14,  129.37,  999.92,   51.11,  698.03,  2970.1,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:55,  -04:00,       ,    2.8356233,  -63.6484146,  2923.5, 29.94,  2995.1,  41.5,   0.00,   0.00,   -2.14,   1.36,  -0.55,   0.01,   0.00, 297.8, 284.6,  26.4,  66.4,  98.03,  84.84,    17.69,  170.45,   84.05,  130.64, 1000.07,   51.17,  696.85,  2970.2,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:56,  -04:00,       ,    2.8356233,  -63.6484146,  2923.5, 29.94,  2995.0,  41.2,   0.00,   0.00,    4.92,   1.40,  -0.53,   0.01,   0.01, 297.9, 284.6,  26.4,  66.2,  98.03,  84.72,    17.68,  170.37,   84.10,  131.75,  998.07,   51.19,  695.97,  2970.1,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:57,  -04:00,       ,    2.8356233,  -63.6484146,  2922.5, 29.94,  2994.9,  41.2,   0.00,   0.00,    3.97,   1.40,  -0.52,   0.02,  -0.00, 297.8, 284.6,  26.5,  65.9,  97.97,  84.72,    17.68,  170.31,   84.09,  131.70,  995.29,   51.20,  695.08,  2970.0,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:58,  -04:00,       ,    2.8356237,  -63.6484146,  2923.5, 29.94,  2994.5,  41.2,   0.00,   0.00,    1.98,   1.40,  -0.54,   0.02,   0.01, 297.8, 284.6,  26.5,  65.2,  97.97,  84.72,    17.66,  170.27,   84.19,  130.50,  992.58,   51.19,  695.14,  2969.6,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:55:59,  -04:00,       ,    2.8356249,  -63.6484146,  2923.5, 29.94,  2995.4,  41.0,   0.00,   0.00,    0.84,   1.41,  -0.51,   0.02,   0.00, 297.8, 284.6,  26.5,  65.4,  97.85,  84.72,    17.67,  170.22,   84.10,  131.20,  993.72,   51.21,  695.08,  2970.5,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:00,  -04:00,       ,    2.8356249,  -63.6484146,  2923.5, 29.94,  2995.4,  41.0,   0.00,   0.00,    0.33,   1.40,  -0.51,   0.01,  -0.00, 297.9, 284.6,  26.5,  65.3,  97.85,  84.72,    17.67,  170.17,   84.36,  130.73,  996.85,   51.26,  693.95,  2970.5,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:01,  -04:00,       ,    2.8356252,  -63.6484146,  2922.5, 29.94,  2995.4,  41.0,   0.00,   0.00,   -1.95,   1.41,  -0.45,   0.01,   0.00, 297.9, 284.6,  26.5,  65.6,  97.85,  84.72,    17.67,  170.13,   84.41,  130.73, 1001.32,   51.29,  692.30,  2970.5,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:02,  -04:00,       ,    2.8356252,  -63.6484146,  2923.5, 29.94,  2995.5,  40.8,   0.00,   0.00,   -6.20,   1.42,  -0.46,   0.01,  -0.00, 297.9, 284.6,  26.5,  66.4,  97.79,  84.72,    17.65,  170.08,   84.40,  133.28, 1001.03,   51.35,  690.21,  2970.6,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:03,  -04:00,       ,    2.8356256,  -63.6484146,  2922.5, 29.94,  2995.7,  40.8,   0.00,   0.00,   -7.15,   1.40,  -0.48,   0.01,   0.00, 297.9, 284.6,  26.6,  65.7,  97.72,  84.72,    17.63,  170.05,   84.46,  135.02,  996.42,   51.38,  688.28,  2970.8,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:04,  -04:00,       ,    2.8356256,  -63.6484146,  2922.5, 29.94,  2996.1,  40.5,   0.00,   0.00,   -9.89,   1.40,  -0.47,   0.01,   0.00, 297.9, 284.6,  26.6,  64.9,  97.72,  84.72,    17.60,  170.03,   84.38,  136.58,  990.64,   51.37,  686.51,  2971.2,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:05,  -04:00,       ,    2.8356247,  -63.6484146,  2921.5, 29.94,  2994.5,  40.5,   0.00,   0.00,  -15.21,   1.38,  -0.45,   0.02,  -0.00, 297.9, 284.6,  26.6,  64.4,  97.72,  84.84,    17.59,  170.00,   84.61,  136.84,  983.36,   51.34,  685.42,  2969.6,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
2023-09-01, 14:56:06,  -04:00,       ,    2.8356247,  -63.6484146,  2921.5, 29.94,  2994.5,  40.5,   0.00,   0.00,  -16.97,   1.40,  -0.46,   0.01,   0.01, 297.9, 284.6,  26.6,  63.5,  97.72,  84.84,    17.58,  169.99,   84.58,  138.08,  976.45,   51.33,  685.00,  2969.6,   0,  GPS,  300.7, 109.30, 109.30, 119.850, 122.500,       ,       ,       ,      ,       ,       ,  -14.5,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  76.5,       
